ax,ay,az,temp
-0.42,-9.65,-1.69,32.69
-1.75,-5.54,-7.83,32.69
-5.69,-6.68,-5.3,32.73
0.19,-6.79,-2.22,32.72
-2.65,-12.73,0.11,32.72
-0.48,-12.94,-2.15,32.73
0.66,-8.25,-6.36,32.7
-0.69,-5.93,-6.74,32.71
-1.06,-7.71,-3.12,32.72
-2.03,-11.96,-0.22,32.69
-0.64,-12.38,-1.45,32.66
0.24,-8.7,-6.15,32.66
1.6,-7.49,-4.6,32.72
0.75,-7.43,-3.57,32.69
-1.8,-11.5,-0.15,32.71
-0.37,-13.13,-0.42,32.67
-2.1,-10.18,-3.3,32.73
0.63,-6.56,-7.81,32.71
0.16,-7.46,-4.08,32.68
-1.77,-11.9,1.39,32.7
-1.62,-12.37,-1.53,32.74
-1.48,-11.11,-5.5,32.72
-0.32,-5.0,-5.88,32.68
-3.3,-7.06,-5.49,32.7
-1.03,-12.08,-0.28,32.7
-0.06,-12.27,-2.06,32.67
-2.13,-7.3,-4.45,32.71
-2.47,-4.85,-7.77,32.69
-4.08,-7.45,-3.56,32.68
-1.76,-12.36,-0.29,32.69
-0.85,-11.73,-2.3,32.65
-1.39,-6.91,-2.99,32.69
-0.54,-5.22,-7.18,32.64
-3.17,-7.93,-4.31,32.69
-1.6,-12.26,0.1,32.67
0.82,-11.57,-2.62,32.67
-1.81,-7.8,-3.31,32.69
-1.29,-4.21,-7.15,32.69
-2.46,-7.97,-2.56,32.67
-1.19,-11.67,0.38,32.71
-0.31,-10.3,-2.67,32.66
-0.75,-8.04,-3.48,32.68
0.57,-5.4,-6.0,32.7
-3.05,-7.51,-1.94,32.67
-1.98,-11.23,1.86,32.69
-1.15,-12.16,-0.97,32.68
0.17,-6.68,-4.77,32.69
2.22,-6.08,-5.79,32.65
-0.72,-8.3,-2.6,32.68
0.62,-11.41,0.79,32.66
0.13,-11.6,-1.88,32.7
0.8,-6.47,-3.17,32.71
1.59,-7.08,-5.54,32.67
-1.22,-6.85,-1.19,32.67
0.71,-13.03,0.34,32.66
-0.59,-12.88,0.21,32.67
-1.19,-7.03,-4.62,32.71
1.17,-5.99,-6.15,32.69
-0.58,-8.31,-0.76,32.67
-1.22,-13.19,0.41,32.73
-0.59,-10.22,-2.17,32.67
0.58,-7.48,-4.57,32.69
0.9,-5.57,-5.49,32.7
0.05,-8.55,-1.21,32.67
1.0,-13.65,0.52,32.68
-0.53,-10.87,-0.63,32.66
-0.52,-8.66,-4.66,32.68
1.26,-5.92,-5.07,32.71
0.65,-9.7,-2.34,32.72
-0.36,-12.66,0.7,32.67
-1.04,-10.89,-2.87,32.64
-0.36,-7.38,-5.9,32.68
-1.03,-12.52,-0.97,32.63
-2.33,-12.01,-3.01,32.65
0.55,-8.54,-5.66,32.7
2.34,-7.01,-5.8,32.65
-0.67,-9.72,-1.04,32.69
-0.82,-12.81,1.94,32.68
1.0,-11.69,-3.47,32.67
0.84,-8.35,-5.56,32.65
0.73,-7.28,-4.9,32.69
0.6,-9.66,-2.18,32.67
-1.95,-12.06,1.64,32.65
-0.16,-10.59,-3.3,32.69
0.76,-8.59,-6.19,32.69
-0.14,-7.06,-3.94,32.69
0.72,-10.35,-1.55,32.68
0.5,-13.79,0.02,32.66
-1.87,-10.58,-3.25,32.69
-0.29,-8.78,-6.25,32.68
2.28,-7.19,-5.41,32.69
0.47,-10.25,-0.24,32.69
-0.97,-12.52,0.74,32.64
0.31,-10.82,-5.2,32.65
-0.69,-7.53,-7.08,32.7
0.21,-6.68,-5.15,32.69
0.53,-9.89,-1.95,32.69
-0.93,-12.26,0.4,32.68
-2.02,-9.8,-2.86,32.67
-0.78,-8.59,-7.45,32.66
2.72,-8.09,-5.42,32.68
-0.78,-9.34,0.06,32.7
-1.49,-12.0,0.25,32.66
-1.4,-10.2,-3.71,32.67
-1.68,-8.42,-5.94,32.7
1.88,-8.82,-5.79,32.67
0.66,-10.76,-0.6,32.68
-0.79,-12.44,1.02,32.66
-0.49,-10.64,-5.64,32.67
-2.64,-8.33,-7.2,32.71
-3.67,-7.93,-6.84,32.64
0.79,-7.63,-6.21,32.67
-0.04,-13.43,-0.26,32.65
-2.04,-10.98,0.02,32.65
-0.88,-10.32,-5.28,32.63
-2.39,-7.79,-8.58,32.67
-0.74,-9.15,-4.07,32.67
0.19,-11.39,-1.75,32.68
-0.21,-11.79,-1.44,32.62
-1.76,-9.86,-5.28,32.64
-4.22,-6.37,-8.66,32.65
0.43,-9.32,-4.14,32.65
1.99,-12.62,-1.39,32.65
-1.66,-10.56,-0.54,32.67
-1.64,-9.0,-5.67,32.71
-1.31,-8.1,-8.0,32.67
-0.05,-9.3,-3.83,32.67
-0.49,-10.18,-0.78,32.64
-0.29,-11.34,-0.84,32.68
-1.75,-9.25,-5.31,32.66
-0.68,-10.33,-5.08,32.67
0.53,-8.55,-2.63,32.69
-1.33,-11.32,0.16,32.69
-1.27,-11.73,-2.97,32.65
-2.61,-7.6,-7.08,32.69
-1.19,-9.18,-5.54,32.68
1.71,-10.54,-4.06,32.69
-1.08,-10.52,0.38,32.68
-1.57,-11.62,-2.3,32.67
-1.49,-7.52,-8.01,32.66
-2.39,-7.56,-6.37,32.67
-0.25,-10.25,-2.22,32.69
-0.09,-11.34,0.91,32.66
-0.61,-10.82,-2.89,32.63
-1.4,-6.85,-6.99,32.65
-1.93,-9.05,-6.29,32.64
0.67,-9.62,-3.19,32.67
-0.75,-11.84,-0.58,32.61
-2.5,-11.22,-1.87,32.67
-2.95,-7.92,-7.59,32.67
-3.53,-6.85,-6.64,32.69
0.16,-9.36,-3.29,32.65
-1.05,-12.91,0.11,32.63
-1.89,-10.59,-1.64,32.67
-0.98,-6.83,-9.49,32.67
-4.55,-7.06,-5.59,32.64
-0.94,-11.98,-3.34,32.67
-0.16,-11.42,0.19,32.67
-1.42,-11.04,-3.07,32.66
-1.98,-6.2,-6.65,32.61
-4.38,-8.33,-5.15,32.65
2.25,-11.32,-3.85,32.68
0.59,-10.6,-0.3,32.67
